feature,importance
num__REGION_POPULATION_RELATIVE,0.00035632993
num__FLOORSMAX_MODE,0.00035347653
num__PREV_INST_NUM_INSTALMENT_VERSION_SUM_MAX,0.00035293945
num__PREV_CHANNEL_TYPE_NUNIQUE,0.00035234285
num__PREV_POS_CNT_INSTALMENT_FUTURE_MEAN_MAX,0.0003471001
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_MEAN_MAX,0.00034602341
num__PREV_DAYS_FIRST_DUE_MIN,0.00034552254
num__PREV_DAYS_DECISION_MEAN,0.0003405084
num__PREV_CC_SK_DPD_DEF_MEAN_MEAN,0.00034013359
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_MAX_MAX,0.00033856128
num__PREV_NFLAG_INSURED_ON_APPROVAL_MAX,0.00033771852
num__FLAG_DOCUMENT_6,0.00033206242
num__PREV_INST_AMT_PAYMENT_SUM_MEAN,0.00031993026
num__PREV_DAYS_FIRST_DRAWING_STD,0.00031500094
num__BUREAU_DAYS_ENDDATE_FACT_MAX,0.00031500054
num__DAYS_BIRTH,0.00031340864
num__HAS_PREVIOUS_APPLICATION,0.00030479184
num__BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.00030428363
num__BUREAU_AMT_ANNUITY_STD,0.00030281555
num__BUREAU_DAYS_CREDIT_SUM,0.00030250702
num__LIVINGAREA_MEDI,0.0002972348
cat__ORGANIZATION_TYPE_Transport: type 3,0.00029492384
num__PREV_INST_AMT_PAYMENT_SUM_MAX,0.00029404895
num__PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MAX,0.00029142146
num__LANDAREA_AVG,0.00029140164
num__AMT_ANNUITY,0.00029029188
num__PREV_INST_AMT_INSTALMENT_SUM_MAX,0.00028781872
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_STD_MEAN,0.00028716328
num__PREV_INST_NUM_INSTALMENT_VERSION_SUM_MEAN,0.00028541434
num__PREV_POS_CNT_INSTALMENT_MIN_MAX,0.000283726
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_MEAN_MAX,0.0002816825
num__PREV_POS_CNT_INSTALMENT_STD_MEAN,0.00028096332
num__PREV_POS_COUNT_MEAN,0.0002804903
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0002744118
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MAX,0.00027189116
num__YEARS_BEGINEXPLUATATION_AVG,0.00027132095
num__PREV_DAYS_DECISION_STD,0.00026955243
cat__OCCUPATION_TYPE_Low-skill Laborers,0.00026884003
num__YEARS_BEGINEXPLUATATION_MEDI,0.0002680229
num__BUREAU_BB_STATUS_NUNIQUE_MAX,0.00026709106
num__PREV_INST_NUM_INSTALMENT_VERSION_STD_MEAN,0.0002597589
num__PREV_AMT_DOWN_PAYMENT_SUM,0.00025922488
num__BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.0002557154
num__PREV_INST_DAYS_ENTRY_PAYMENT_SUM_MEAN,0.00025436396
num__PREV_INST_NUM_INSTALMENT_VERSION_STD_MAX,0.0002517042
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_STD_MEAN,0.00025080238
num__BUREAU_DAYS_CREDIT_ENDDATE_MAX,0.00025068942
num__BUREAU_AMT_CREDIT_SUM_OVERDUE_STD,0.00024949008
num__BUREAU_DAYS_CREDIT_ENDDATE_SUM,0.00024848757
num__PREV_INST_NUM_INSTALMENT_NUMBER_MAX_MEAN,0.00024751222
num__PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MEAN,0.00024725165
num__PREV_CC_AMT_BALANCE_MIN_MAX,0.000247083
num__LIVINGAREA_MODE,0.00024704993
num__BUREAU_COUNT,0.00023446485
num__PREV_INST_AMT_INSTALMENT_MAX_MAX,0.00022955886
num__PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MAX,0.00022950849
num__PREV_CNT_PAYMENT_STD,0.00022793909
num__PREV_POS_MONTHS_BALANCE_MIN_MEAN,0.00022439174
num__PREV_POS_MONTHS_BALANCE_SUM_MEAN,0.00022254734
num__BUREAU_DAYS_CREDIT_MAX,0.00022252444
num__BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,0.00022181282
num__PREV_CNT_PAYMENT_MEAN,0.00022167183
num__PREV_INST_NUM_INSTALMENT_NUMBER_STD_MEAN,0.00021792042
num__TOTALAREA_MODE,0.00021770077
num__PREV_POS_COUNT_MAX,0.00021247785
num__BUREAU_DAYS_ENDDATE_FACT_MIN,0.00021085936
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MAX,0.00020785221
num__PREV_INST_AMT_PAYMENT_MEAN_MEAN,0.00020750515
num__PREV_INST_DAYS_INSTALMENT_STD_MEAN,0.00020685383
num__PREV_CC_AMT_BALANCE_MEAN_MAX,0.00020465904
num__PREV_INST_NUM_INSTALMENT_VERSION_MEAN_MEAN,0.00020458015
cat__NAME_HOUSING_TYPE_With parents,0.00020412417
num__PREV_INST_DAYS_ENTRY_PAYMENT_STD_MEAN,0.00020299487
num__PREV_CC_AMT_INST_MIN_REGULARITY_MEAN_MEAN,0.00020234485
num__BUREAU_DAYS_CREDIT_ENDDATE_STD,0.00020079773
num__PREV_POS_SK_DPD_DEF_MAX_MEAN,0.00019996126
num__PREV_AMT_APPLICATION_SUM,0.00019976277
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MAX,0.00019974147
