model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
LogisticRegression,0.59,183398,42750,8614,11246,0.5662638469284995,0.20827468701385288,0.30453856152513,128890
LogisticRegression,0.6,185714,40434,8917,10943,0.5510070493454179,0.2129941413472955,0.30722798545699564,129604
LogisticRegression,0.61,187923,38225,9223,10637,0.5355991943605236,0.21769473210265647,0.3095660778207852,130455
LogisticRegression,0.62,190104,36044,9506,10354,0.52134944612286,0.22315617052459158,0.31253584472818374,131104
LogisticRegression,0.63,192165,33983,9853,10007,0.5038771399798591,0.22748351898158672,0.31345340642129993,132513
LogisticRegression,0.64,194195,31953,10170,9690,0.4879154078549849,0.23269216915207838,0.31510658016682114,133653
LogisticRegression,0.65,196158,29990,10480,9380,0.47230614300100704,0.23825247650495301,0.31673138612189766,134790
LogisticRegression,0.66,197959,28189,10794,9066,0.4564954682779456,0.24334988592135284,0.31746476407248536,136129
LogisticRegression,0.67,199772,26376,11136,8724,0.43927492447129907,0.24854700854700854,0.3174672489082969,137736
LogisticRegression,0.68,201608,24540,11473,8387,0.42230614300100705,0.25471497555197864,0.3177676321821661,139270
LogisticRegression,0.6900000000000001,203357,22791,11848,8012,0.40342396777442097,0.2601045352725384,0.31628604701656043,141271
LogisticRegression,0.7000000000000001,204994,21154,12226,7634,0.3843907351460222,0.26517993608447965,0.3138464068409801,143414
LogisticRegression,0.7100000000000001,206533,19615,12561,7299,0.3675226586102719,0.271197146466523,0.3120964638474366,145225
LogisticRegression,0.72,208046,18102,12892,6968,0.3508559919436052,0.27794176306342244,0.31017137769864234,147022
LogisticRegression,0.73,209452,16696,13235,6625,0.3335850956696878,0.28407872732730155,0.30684791922373267,149046
LogisticRegression,0.74,210829,15319,13577,6283,0.3163645518630413,0.29085269882418296,0.3030726930683517,151089
LogisticRegression,0.75,212128,14020,13941,5919,0.29803625377643506,0.29685540899744217,0.2974446594135531,153430
LogisticRegression,0.76,213432,12716,14321,5539,0.2789023162134945,0.3034237195288962,0.29064672701036337,155926
LogisticRegression,0.77,214697,11451,14684,5176,0.2606243705941591,0.31130089613279605,0.28371748842053335,158291
LogisticRegression,0.78,215864,10284,15029,4831,0.2432527693856999,0.3196162752232881,0.2762544674767691,160574
LogisticRegression,0.79,216983,9165,15377,4483,0.22573011077542798,0.3284730363423212,0.26757789184672315,162935
LogisticRegression,0.8,218045,8103,15748,4112,0.20704934541792547,0.3366352844862874,0.2563990646921278,165583
LogisticRegression,0.81,218988,7160,16078,3782,0.1904330312185297,0.3456406507037105,0.24556846957989742,167940
LogisticRegression,0.8200000000000001,219879,6269,16431,3429,0.17265861027190332,0.3535780573314085,0.23201840449286149,170579
LogisticRegression,0.8300000000000001,220716,5432,16730,3130,0.15760322255790535,0.36556879233823875,0.22025191752867496,172732
LogisticRegression,0.8400000000000001,221492,4656,17040,2820,0.1419939577039275,0.37720706260032105,0.20632133450395082,175056
LogisticRegression,0.85,222191,3957,17335,2525,0.1271399798590131,0.38954026535020053,0.19170905777845265,177307
LogisticRegression,0.86,222857,3291,17634,2226,0.11208459214501511,0.40348015225666123,0.1754344485163731,179631
LogisticRegression,0.87,223417,2731,17944,1916,0.09647532729103726,0.41230901656983,0.15636348798302527,182171
LogisticRegression,0.88,223970,2178,18232,1628,0.08197381671701913,0.4277456647398844,0.1375813403194456,184498
LogisticRegression,0.89,224439,1709,18494,1366,0.06878147029204432,0.44422764227642275,0.11911925005450186,186649
LogisticRegression,0.9,224826,1322,18744,1116,0.056193353474320244,0.45775225594749797,0.10009866355726971,188762
LogisticRegression,0.91,225166,982,19001,859,0.0432527693856999,0.4665942422596415,0.07916685867010737,190992
LogisticRegression,0.92,225446,702,19199,661,0.033282980866062434,0.48495964783565665,0.06229091080431607,192692
LogisticRegression,0.93,225658,490,19381,479,0.024118831822759316,0.49432404540763675,0.045993566661865666,194300
LogisticRegression,0.9400000000000001,225835,313,19534,326,0.016414904330312185,0.5101721439749609,0.03180642958193083,195653
