feature,importance
num__YEARS_BUILD_AVG,0.08885916773879843
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_SUM_MEAN,0.08749848965819199
num__BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,0.08704053618242763
cat__OCCUPATION_TYPE_Secretaries,0.08603350773804978
num__YEARS_BUILD_MEDI,0.08571060293271245
cat__NAME_HOUSING_TYPE_Municipal apartment,0.08541674910025088
num__PREV_CODE_REJECT_REASON_NUNIQUE,0.08447278433337904
num__PREV_AMT_ANNUITY_MEAN,0.08422882467390332
num__PREV_INST_NUM_INSTALMENT_NUMBER_SUM_MEAN,0.083753669770289
num__PREV_AMT_GOODS_PRICE_STD,0.08370080446146215
cat__ORGANIZATION_TYPE_XNA,0.08353255035698559
cat__OCCUPATION_TYPE_Private service staff,0.08315374141047832
num__PREV_POS_MONTHS_BALANCE_STD_MAX,0.08282856389615002
cat__ORGANIZATION_TYPE_Advertising,0.08276243062331451
num__PREV_CC_CNT_DRAWINGS_CURRENT_MEAN_MAX,0.08274354649206285
cat__ORGANIZATION_TYPE_Industry: type 1,0.08263267631935958
num__PREV_POS_COUNT_MAX,0.08258187141755574
cat__NAME_CONTRACT_TYPE_Revolving loans,0.08253199368923682
num__FLAG_DOCUMENT_8,0.08241032150609336
num__PREV_POS_CNT_INSTALMENT_FUTURE_SUM_MAX,0.08200731155209415
cat__NAME_TYPE_SUITE_Other_B,0.08181901907100884
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_STD_MAX,0.08168138578530937
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_SUM_MEAN,0.08135274125911579
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_MEAN_MEAN,0.08062246419985755
cat__ORGANIZATION_TYPE_Trade: type 7,0.08030474762155647
num__PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MAX,0.07972370362064614
num__LIVINGAREA_MEDI,0.0793457815260052
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MAX_MAX,0.07898899033418937
num__PREV_CC_AMT_DRAWINGS_CURRENT_STD_MAX,0.0788827563566209
num__PREV_CC_CNT_DRAWINGS_CURRENT_MAX_MAX,0.07864304829476564
num__BUREAU_DAYS_ENDDATE_FACT_MEAN,0.07798764967388236
num__PREV_DAYS_LAST_DUE_MIN,0.07762725554934742
num__BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,0.07752730636604448
cat__ORGANIZATION_TYPE_Postal,0.07752197586194824
num__PREV_INST_DAYS_ENTRY_PAYMENT_SUM_MEAN,0.07737438835085601
cat__NAME_INCOME_TYPE_Working,0.0773192361039242
num__PREV_AMT_APPLICATION_SUM,0.0772781306340624
num__PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,0.07692918649709941
num__PREV_POS_SK_DPD_STD_MAX,0.07664680185508006
num__PREV_INST_NUM_INSTALMENT_NUMBER_STD_MAX,0.07633182362884267
num__PREV_DAYS_FIRST_DRAWING_MEAN,0.07610187407975923
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,0.07429000777784905
num__LIVINGAPARTMENTS_MODE,0.07425203238391988
num__PREV_INST_NUM_INSTALMENT_NUMBER_MEAN_MAX,0.0741030895292036
num__PREV_INST_DAYS_INSTALMENT_MAX_MEAN,0.07316509978499273
cat__FONDKAPREMONT_MODE_reg oper spec account,0.07253294152396925
num__PREV_AMT_CREDIT_SUM,0.07205038351131962
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.07190455902678616
num__PREV_CC_CNT_INSTALMENT_MATURE_CUM_MEAN_MEAN,0.07141977756803977
num__PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MAX,0.071210709899566
num__PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MEAN,0.07104226015217079
num__PREV_POS_CNT_INSTALMENT_MAX_MEAN,0.07090199110781223
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_SUM_MAX,0.07073644648290739
num__PREV_AMT_ANNUITY_MIN,0.07070181459100454
cat__WALLSMATERIAL_MODE_Others,0.07046031882702684
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_STD_MEAN,0.07033078229245329
cat__NAME_TYPE_SUITE_Children,0.0703140058074815
num__PREV_POS_CNT_INSTALMENT_STD_MAX,0.07031363586346154
num__PREV_CC_CNT_INSTALMENT_MATURE_CUM_SUM_MAX,0.06991138113511455
num__PREV_CC_AMT_BALANCE_MEAN_MEAN,0.06983449739904812
cat__ORGANIZATION_TYPE_Security,0.06950769645476092
cat__OCCUPATION_TYPE_missing,0.06915782034639673
cat__ORGANIZATION_TYPE_Industry: type 12,0.06902929696235008
cat__HOUSETYPE_MODE_missing,0.06896715414210071
cat__OCCUPATION_TYPE_Security staff,0.0688838867234136
num__DAYS_BIRTH,0.06884462400632102
num__PREV_CC_MONTHS_BALANCE_STD_MEAN,0.06795264111333764
num__BUREAU_AMT_CREDIT_SUM_MEAN,0.06749348649205385
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_SUM_MAX,0.06661825403696409
num__ENTRANCES_AVG,0.06645205749633004
num__PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,0.06603155506438223
num__PREV_INST_NUM_INSTALMENT_NUMBER_STD_MEAN,0.06586131894064431
num__PREV_CC_AMT_PAYMENT_CURRENT_STD_MAX,0.06566768156454328
num__PREV_INST_AMT_PAYMENT_MAX_MAX,0.06548046289307678
num__COMMONAREA_MODE,0.06522247214783973
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,0.06522180364783169
num__APARTMENTS_AVG,0.06516800550611805
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.06471679483130915
num__PREV_CNT_PAYMENT_MEAN,0.06434765779379509
num__PREV_CC_AMT_BALANCE_MEAN_MAX,0.06415912907385063
num__OBS_30_CNT_SOCIAL_CIRCLE,0.06386369476430227
cat__NAME_TYPE_SUITE_Other_A,0.06368543544751566
num__PREV_CC_CNT_INSTALMENT_MATURE_CUM_MEAN_MAX,0.0634263536321166
num__PREV_POS_MONTHS_BALANCE_MEAN_MAX,0.06336072611602186
num__PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,0.06306335425129415
cat__ORGANIZATION_TYPE_Emergency,0.06279286485340356
cat__EMERGENCYSTATE_MODE_No,0.06230993137304351
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0621919909899499
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MEAN,0.062114170095355796
num__REG_CITY_NOT_LIVE_CITY,0.061642137243869514
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MEAN,0.06144985917555474
cat__OCCUPATION_TYPE_Managers,0.06141383735029514
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_SUM_MAX,0.06069330541003741
num__PREV_HOUR_APPR_PROCESS_START_MIN,0.060339694452075175
num__PREV_INST_NUM_INSTALMENT_VERSION_MIN_MEAN,0.06027993167605959
num__PREV_CC_AMT_INST_MIN_REGULARITY_MEAN_MAX,0.06024232204864169
num__PREV_POS_MONTHS_BALANCE_STD_MEAN,0.060153037151312524
cat__ORGANIZATION_TYPE_Trade: type 1,0.05938264537846506
num__PREV_CC_CNT_DRAWINGS_CURRENT_SUM_MAX,0.05909541757694202
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.05894496283700354
num__PREV_HOUR_APPR_PROCESS_START_MAX,0.05742247735965929
num__NONLIVINGAPARTMENTS_MEDI,0.057292312417574515
num__LANDAREA_AVG,0.05717481860000131
num__PREV_POS_MONTHS_BALANCE_SUM_MEAN,0.0569642239948136
cat__OCCUPATION_TYPE_Cooking staff,0.05691091722325142
num__PREV_CC_SK_DPD_DEF_STD_MAX,0.056547003206903416
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_MAX_MAX,0.05650954507767843
num__APARTMENTS_MEDI,0.056508703473748506
cat__HOUSETYPE_MODE_specific housing,0.056307795270917504
num__PREV_INST_NUM_INSTALMENT_VERSION_SUM_MEAN,0.05622106390146387
num__PREV_AMT_CREDIT_MAX,0.05617451356544583
cat__ORGANIZATION_TYPE_Medicine,0.05601688321297128
num__PREV_NFLAG_INSURED_ON_APPROVAL_MIN,0.055886847402551836
num__BUREAU_DAYS_CREDIT_UPDATE_MAX,0.055868815814436625
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0556589688117222
cat__OCCUPATION_TYPE_Medicine staff,0.055545868139209274
cat__HOUSETYPE_MODE_terraced house,0.055374715403059056
num__PREV_CC_AMT_INST_MIN_REGULARITY_MEAN_MEAN,0.05522677439563097
num__PREV_NAME_YIELD_GROUP_NUNIQUE,0.055045566887450416
num__PREV_INST_AMT_INSTALMENT_SUM_MEAN,0.05498539662806187
num__PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MAX,0.05477513709904889
num__PREV_CC_SK_DPD_DEF_STD_MEAN,0.054769184018504516
num__FLAG_DOCUMENT_5,0.05433462925649141
num__PREV_HOUR_APPR_PROCESS_START_STD,0.05432392025752593
num__PREV_CC_CNT_INSTALMENT_MATURE_CUM_SUM_MEAN,0.05422912629316558
num__PREV_DAYS_DECISION_MAX,0.05414270286076062
num__PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,0.05414267939194326
cat__ORGANIZATION_TYPE_Government,0.0539560444867629
num__PREV_INST_NUM_INSTALMENT_VERSION_SUM_MAX,0.05394257771045212
num__NONLIVINGAREA_MODE,0.05383859286889397
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_STD_MEAN,0.053734863858182845
cat__ORGANIZATION_TYPE_Industry: type 4,0.053479028480392835
num__PREV_POS_CNT_INSTALMENT_FUTURE_STD_MAX,0.0529834568059386
cat__ORGANIZATION_TYPE_Industry: type 7,0.05269536075343369
num__PREV_DAYS_LAST_DUE_STD,0.05221618205926725
num__PREV_CC_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,0.051798756791449165
num__ENTRANCES_MEDI,0.05169440905117867
num__BUREAU_CREDIT_DAY_OVERDUE_MAX,0.05158981681180378
num__PREV_POS_NAME_CONTRACT_STATUS_NUNIQUE_MEAN,0.051266244122181545
num__PREV_CC_AMT_RECIVABLE_MEAN_MEAN,0.051035997297934725
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.05096247180804052
cat__OCCUPATION_TYPE_Cleaning staff,0.05082092742847604
num__PREV_INST_NUM_INSTALMENT_VERSION_MAX_MAX,0.05054361413926242
num__FLAG_WORK_PHONE,0.04989538426194416
num__PREV_CNT_PAYMENT_SUM,0.049846333955007996
num__PREV_DAYS_TERMINATION_MIN,0.04981316440723497
cat__NAME_FAMILY_STATUS_Civil marriage,0.0497338822390875
num__PREV_CC_AMT_RECEIVABLE_PRINCIPAL_SUM_MEAN,0.049666406869547174
cat__ORGANIZATION_TYPE_Transport: type 1,0.04950410457004473
num__BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.04919666901310133
num__PREV_DAYS_DECISION_STD,0.04912558812458173
num__NONLIVINGAPARTMENTS_AVG,0.04898383761193342
num__PREV_CC_AMT_TOTAL_RECEIVABLE_MAX_MEAN,0.04891139759669398
num__PREV_NFLAG_INSURED_ON_APPROVAL_SUM,0.04869460368275057
num__PREV_POS_CNT_INSTALMENT_SUM_MEAN,0.04855926499576013
num__PREV_CC_AMT_RECIVABLE_MAX_MEAN,0.04848897163798551
num__PREV_CC_SK_DPD_DEF_MAX_MEAN,0.04842137964972267
num__BUREAU_DAYS_ENDDATE_FACT_MIN,0.04827199931924563
num__PREV_POS_CNT_INSTALMENT_STD_MEAN,0.04782807289475123
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_MAX_MEAN,0.04767219322269349
num__PREV_CNT_PAYMENT_MIN,0.047575185382624376
num__PREV_INST_DAYS_ENTRY_PAYMENT_SUM_MAX,0.047533572080698284
num__BUREAU_AMT_CREDIT_SUM_OVERDUE_STD,0.04738060580062813
num__PREV_CC_AMT_DRAWINGS_CURRENT_STD_MEAN,0.04737208357863883
num__PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN,0.04735542915881071
num__PREV_NFLAG_LAST_APPL_IN_DAY_SUM,0.04730367605335992
num__BUREAU_DAYS_CREDIT_ENDDATE_MIN,0.04729848407245206
cat__ORGANIZATION_TYPE_Mobile,0.04686125516914184
num__PREV_CC_SK_DPD_MAX_MAX,0.04678250200929222
num__PREV_DAYS_DECISION_SUM,0.046564112694817326
cat__ORGANIZATION_TYPE_University,0.046548484469235624
num__PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MEAN,0.04630800996441447
num__PREV_CC_AMT_TOTAL_RECEIVABLE_MEAN_MAX,0.04610679896620397
cat__NAME_INCOME_TYPE_State servant,0.0460610516156006
num__DAYS_ID_PUBLISH,0.045944844176332884
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,0.04582369775666305
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MAX,0.04579834977417956
num__PREV_POS_SK_DPD_STD_MEAN,0.0457088394836589
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,0.04562711405490022
num__PREV_CC_AMT_PAYMENT_CURRENT_MEAN_MAX,0.0456067156750061
num__PREV_CC_AMT_RECIVABLE_MEAN_MAX,0.045349919492729304
num__PREV_INST_DAYS_INSTALMENT_STD_MEAN,0.0453454462555871
num__PREV_AMT_APPLICATION_MAX,0.045219282223787655
num__PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,0.04520807363416384
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.044787362880142394
num__BUREAU_BB_MONTHS_BALANCE_SUM_MEAN,0.04445149692537814
cat__ORGANIZATION_TYPE_Agriculture,0.04438299163076055
num__PREV_CC_AMT_TOTAL_RECEIVABLE_STD_MEAN,0.04433333147511543
num__FLAG_DOCUMENT_16,0.04426747002856818
num__PREV_AMT_APPLICATION_MIN,0.04419295290160396
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.04414508861890915
num__PREV_CC_AMT_RECIVABLE_STD_MEAN,0.04384575708968137
num__PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MEAN,0.0438340742345676
num__OWN_CAR_AGE,0.043608049866277705
num__PREV_DAYS_LAST_DUE_MEAN,0.04337264539676337
num__PREV_POS_MONTHS_BALANCE_MIN_MEAN,0.04325981587295501
cat__FLAG_OWN_REALTY_N,0.04322973994883211
num__PREV_NAME_GOODS_CATEGORY_NUNIQUE,0.04312659806774555
num__PREV_CC_CNT_INSTALMENT_MATURE_CUM_STD_MAX,0.04301107492975655
num__BUREAU_DAYS_CREDIT_UPDATE_STD,0.0426275713325512
num__ELEVATORS_MEDI,0.042237371961459304
cat__ORGANIZATION_TYPE_Services,0.042227552304731734
num__BUREAU_DAYS_ENDDATE_FACT_MAX,0.042161600988015135
num__PREV_POS_CNT_INSTALMENT_SUM_MAX,0.04198182184691112
"cat__WALLSMATERIAL_MODE_Stone, brick",0.04147935869630611
num__PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MIN_MEAN,0.04142732357472287
num__PREV_POS_SK_DPD_SUM_MAX,0.041166226129488656
num__DAYS_LAST_PHONE_CHANGE,0.04109462784043606
num__PREV_CC_CNT_DRAWINGS_CURRENT_STD_MEAN,0.040773276653820356
num__FLAG_DOCUMENT_18,0.04058770184119629
num__PREV_SELLERPLACE_AREA_STD,0.04057549419683935
num__PREV_NFLAG_INSURED_ON_APPROVAL_STD,0.04050286421534192
num__PREV_AMT_ANNUITY_SUM,0.040381588555995294
num__LIVE_REGION_NOT_WORK_REGION,0.04036549582969617
num__PREV_CC_SK_DPD_MEAN_MEAN,0.040249901979115106
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN_MEAN,0.040125876119907554
cat__ORGANIZATION_TYPE_Electricity,0.03980955894494241
cat__ORGANIZATION_TYPE_Trade: type 5,0.03967067828620332
num__PREV_CC_CNT_DRAWINGS_CURRENT_STD_MAX,0.03935329022384601
num__DAYS_REGISTRATION,0.039211738528777684
num__PREV_AMT_GOODS_PRICE_MEAN,0.0391811117002002
num__PREV_CC_AMT_TOTAL_RECEIVABLE_MAX_MAX,0.039005944907213
num__REG_REGION_NOT_WORK_REGION,0.03887344333981656
num__PREV_CC_CNT_DRAWINGS_CURRENT_MEAN_MEAN,0.03880494662491578
num__PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MAX,0.03871841448060484
num__PREV_DAYS_FIRST_DRAWING_STD,0.038674025917676255
num__PREV_CC_AMT_RECIVABLE_MAX_MAX,0.03855384024486798
num__PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MAX,0.03837094813760623
